time,X,Y
2018/12/12 17:00,#CbDbMbMbRb#Me#Ce#Cb#Re#DbRb#CeDeMe#Re#EbRb#Ee#Mb#Mb#DeMeMeRe,#CbDbMbMbRb#MeRe#RbRb#CeMe#ReRe#DbMb#De#CbEb#Mb#CeEe#Me#DeMe
2018/12/12 18:00,#CbDbMbMbRb#Me#Db#Re#Rb#CeMe#EbEb#Ee#Re#Rb#De#Mb#Mb#DeEeMeMeRe,#CbDbMbMbRb#MeRe#RbRb#Me#ReRe#EbEbMb#Ee#DbMb#CeDe#Me#DeEeMe
2018/12/12 19:00,#DbMbMbRb#Me#Cb#Re#Rb#CeMe#Eb#Ee#Re#EbRb#Ee#Mb#Mb#DeMeMeRe,#DbMbMbRb#MeRe#RbRb#Me#ReRe#EbMb#Ee#Cb#EbMb#CeEe#Me#DeMe
2018/12/12 20:00,#CbDbMbMbRb#Me#Re#Rb#Me#Ce#Re#DbEbRb#DeEe#Mb#Mb#DeMeMeRe,#CbDbMbMbRb#MeRe#RbRb#Me#ReRe#Mb#Db#De#EbMb#CeEe#Me#DeMe
2018/12/12 21:00,#CbDbMbMbRb#Me#Re#DbRb#DeMe#Re#Rb#Mb#Mb#CeDeMeMeRe,#CbDbMbMbRb#MeRe#RbRb#Me#Db#DeReRe#Mb#Mb#Ce#Me#DeMe
2018/12/12 22:00,#CbDbMbMbRb#Me#Re#Rb#Me#Db#Re#CbRb#De#Mb#Mb#CeCeDeMeMeRe,#CbDbMbMbRb#MeRe#RbRb#DeMe#Db#ReRe#Mb#Mb#Cb#Ce#Me#CeDeMe
2018/12/12 23:00,#CbDbMbMbRb#Me#Re#DbRb#DeMe#Re#Rb#Mb#Mb#CeDeMeMeRe,#CbMbMbRb#MeRe#RbRb#Me#DbDb#DeReRe#Mb#Mb#Ce#Me#DeMe
2018/12/13 00:00,#CbDbMbMbRb#Me#Re#Rb#Me#Ce#Re#CbRb#Mb#Mb#CeDeMeMeRe,#DbMbMbRb#MeRe#CbRbRb#Me#ReRe#Mb#Mb#Cb#Ce#Me#CeDeMe
2018/12/13 01:00,#CbDbDbMbMbRb#Me#De#Re#Rb#Me#Re#Rb#Ce#Mb#Mb#DeMeMeRe,#CbDbDbMbMbRb#DeMeRe#RbRb#Me#ReRe#Mb#Mb#Ce#Me#DeMe
2018/12/13 02:00,#DbMbMbRb#Me#Cb#Re#Rb#CeMe#Eb#Ee#Re#Rb#Mb#Mb#DeMeMeRe,#DbMbMbRb#MeRe#RbRb#Me#ReRe#EbMb#Ee#Cb#Mb#Ce#Me#DeMe
2018/12/13 03:00,#DbMbMbRb#Me#Cb#Re#Rb#CeMe#Eb#Ee#Re#Rb#Mb#Mb#DeMeMeRe,#DbMbMbRb#MeRe#RbRb#Me#ReRe#EbMb#Ee#Cb#Mb#Ce#Me#DeMe
2018/12/13 04:00,#DbMbMbRb#Me#Cb#Re#Rb#CeMe#Eb#Ee#Re#Rb#Mb#Mb#DeMeMeRe,#DbMbMbRb#MeRe#RbRb#Me#ReRe#EbMb#Ee#Cb#Mb#Ce#Me#DeMe
2018/12/13 05:00,#DbEbMbMbRb#Me#Ee#Cb#Re#Rb#CeMe#Eb#Ee#Re#Rb#Mb#Mb#DeMeMeRe,#DbMbMbRb#MeRe#RbRb#Me#ReRe#EbMb#Ee#Cb#Mb#Ce#Eb#Ee#Me#DeMe
2018/12/13 06:00,#DbEbMbMbRb#Me#Ee#Cb#Re#Rb#CeMe#Eb#Ee#Re#Rb#Mb#Mb#DeMeMeRe,#DbMbMbRb#MeRe#RbRb#Me#ReRe#EbMb#Ee#Cb#Mb#Ce#Eb#Ee#Me#DeMe
2018/12/13 07:00,#DbEbMbMbRb#Me#Ee#Cb#Re#Rb#CeMe#CbEb#Ee#Re#Rb#Ce#Mb#Mb#DeMeMeRe,#CbDbMbMbRb#MeRe#RbRb#CeMe#ReRe#EbMb#Ee#Cb#Mb#Ce#Eb#Ee#Me#DeMe
2018/12/13 08:00,#DbEbMbMbRb#Me#CbDb#EeRe#Rb#CeMe#DbEbEb#De#Re#Rb#Ee#Mb#De#Mb#DeEeMeMeRe,#DbEbMbMbRb#MeRe#RbRb#EeMe#ReRe#EbMb#CbDb#EbMb#CeDeDe#Db#Me#DeEeEeMe
2018/12/13 09:00,#EbMbMbRb#Me#DbEb#EeRe#DbRb#Me#De#Re#Rb#Mb#Mb#DeEeMeMeRe,#DbEbMbMbRb#MeRe#RbRb#Me#ReRe#EbMb#DeEe#Db#Mb#De#Me#EeMe
